lastname;firstname;address;phone;ward;precinct;voted
Lieber;Scott;1 Broad Drive;808-322-3597;26;1;0
Bressler;Jacob;1 College St.;618-072-9017;26;1;0
Gold;Phil;1 East Marvon Ave.;849-177-5585;26;1;0
Turner;Alfonso;1 East Queen Rd.;880-269-2251;26;1;0
Carpenter;Mervin;1 Hill St.;530-676-7194;26;1;0
Sanford;Brianna;1 Leeton Ridge Rd.;485-535-3952;26;1;0
Hendricks;Shad;1 S. Maple Ave.;637-640-2864;26;1;0
Johnson;Kyle;1 South Longbranch Drive;983-756-4867;26;1;0
Barrera;Jed;1 South Summerhouse Court;720-547-4041;26;1;0
Sweeney;Man;1 Tailwater St.;325-314-4212;26;1;0
Pacheco;Lorena;10 College Drive;343-951-9740;26;1;0
Buckley;Granville;10 Rock Creek Lane;530-750-3404;26;1;0
Mata;1Isabel;10 Sherman Lane;564-904-7889;26;1;0
Long;1Shane;101 Elizabeth Ave.;225-530-9750;26;1;0
Horton;Donovan;101 Golden Star Road;410-034-7258;26;1;0
Wheeler;Agnes;11 Maple Lane;491-316-6475;26;2;0
Arias;Savannah;11 Summerhouse St.;563-115-4856;26;2;0
Cohen;Christine;11 Union Drive;816-741-5788;26;2;0
Morris;Efren;11 W. Mechanic Drive;288-605-9725;26;2;0
Farrell;Tonia;110 Queen St.;782-118-3658;26;2;0
